frame,timestamp,boidCount,updateTime,estimatedFPS,boid0_x,boid0_y,boid0_z,boid0_vx,boid0_vy,boid0_vz,boid0_speed,boid0_neighbors,boid1_x,boid1_y,boid1_z,boid1_vx,boid1_vy,boid1_vz,boid1_speed,boid1_neighbors,boid2_x,boid2_y,boid2_z,boid2_vx,boid2_vy,boid2_vz,boid2_speed,boid2_neighbors,boid3_x,boid3_y,boid3_z,boid3_vx,boid3_vy,boid3_vz,boid3_speed,boid3_neighbors,boid4_x,boid4_y,boid4_z,boid4_vx,boid4_vy,boid4_vz,boid4_speed,boid4_neighbors
0,1756169114391,500,12.5684,79.56,28.964,62.682,44.290,0.241,0.295,-0.629,0.735,7,40.714,-22.772,-5.742,-0.698,-0.934,1.505,1.904,14,42.487,-0.048,-49.632,-0.758,-0.929,0.219,1.218,10,6.399,13.590,-3.921,-0.509,-0.012,0.175,0.538,19,-22.982,26.855,-53.069,-0.175,-0.340,-0.566,0.683,8
100,1756169116022,500,5.0682,197.31,1.741,61.921,75.934,-1.082,0.229,0.224,1.129,26,57.880,19.618,61.187,0.200,0.767,0.500,0.938,19,69.660,44.212,-26.354,0.561,1.009,0.044,1.155,8,-69.624,49.818,36.530,-0.843,0.501,0.585,1.142,30,-21.504,90.157,-7.716,-0.040,0.941,0.820,1.249,18
200,1756169117651,500,4.6397,215.53,-89.130,94.321,132.873,-0.770,0.390,0.642,1.076,17,88.866,55.579,144.247,0.730,-0.928,-0.013,1.181,18,120.445,147.155,-20.219,0.404,1.195,0.322,1.302,3,-142.358,120.257,58.886,-0.505,0.836,0.414,1.060,23,-81.330,161.581,60.442,-0.808,0.654,0.808,1.317,18
300,1756169119279,500,6.8982,144.97,-102.145,69.346,103.957,0.359,-1.026,-0.609,1.246,30,159.387,7.659,85.458,0.329,-0.577,-1.266,1.430,18,97.497,149.299,11.961,-0.667,-0.861,0.506,1.201,21,-113.976,90.688,64.266,0.257,-0.807,-0.232,0.878,30,-63.905,99.833,56.462,0.860,-0.985,-0.723,1.494,30
400,1756169120899,500,5.0865,196.60,-89.464,-41.707,22.282,0.316,-0.994,-0.794,1.311,17,177.494,-37.225,-33.728,0.228,-0.546,-1.231,1.366,16,-3.181,93.009,59.844,-0.790,-0.151,0.532,0.964,20,-107.018,12.786,-16.737,0.166,-1.336,-1.017,1.688,8,-13.772,10.942,6.043,0.255,-1.262,-0.163,1.298,10
500,1756169122521,500,6.3174,158.29,-63.530,-138.679,-53.661,0.391,-1.079,-0.949,1.490,15,148.935,-87.355,-97.970,-0.568,-0.482,-0.270,0.793,7,-88.150,102.870,150.548,-0.722,-0.165,0.740,1.047,23,-67.948,-117.837,-108.866,0.501,-1.214,-0.958,1.625,3,-2.273,-94.501,-48.231,0.000,-0.879,-0.833,1.211,13
600,1756169124130,500,6.1559,162.45,-39.291,-177.701,-94.730,0.360,0.641,0.084,0.740,30,61.734,-109.489,-144.266,-1.239,-0.080,-0.554,1.359,12,-104.855,4.431,100.174,0.129,-1.324,-0.921,1.618,10,-25.332,-143.306,-132.315,0.277,0.343,-0.123,0.458,30,10.195,-142.201,-123.095,0.124,0.467,-0.596,0.767,30
